;2;3;5;7;11;13;17;19;23;29;31;37;41;43;47;53;59;61;67;71;73;79;83;89;97
88; (44, 0); (29, 1); (17, 3); (12, 4); (8, 0); (6, 10); (5, 3); (4, 12); (3, 19); (3, 1); (2, 26); (2, 14); (2, 6); (2, 2); (1, 41); (1, 35); (1, 29); (1, 27); (1, 21); (1, 17); (1, 15); (1, 9); (1, 5); ; 
89; (44, 1); (29, 2); (17, 4); (12, 5); (8, 1); (6, 11); (5, 4); (4, 13); (3, 20); (3, 2); (2, 27); (2, 15); (2, 7); (2, 3); (1, 42); (1, 36); (1, 30); (1, 28); (1, 22); (1, 18); (1, 16); (1, 10); (1, 6); (1, 0); 
90; (45, 0); (30, 0); (18, 0); (12, 6); (8, 2); (6, 12); (5, 5); (4, 14); (3, 21); (3, 3); (2, 28); (2, 16); (2, 8); (2, 4); (1, 43); (1, 37); (1, 31); (1, 29); (1, 23); (1, 19); (1, 17); (1, 11); (1, 7); (1, 1); 
91; (45, 1); (30, 1); (18, 1); (13, 0); (8, 3); (7, 0); (5, 6); (4, 15); (3, 22); (3, 4); (2, 29); (2, 17); (2, 9); (2, 5); (1, 44); (1, 38); (1, 32); (1, 30); (1, 24); (1, 20); (1, 18); (1, 12); (1, 8); (1, 2); 
92; (46, 0); (30, 2); (18, 2); (13, 1); (8, 4); (7, 1); (5, 7); (4, 16); (4, 0); (3, 5); (2, 30); (2, 18); (2, 10); (2, 6); (1, 45); (1, 39); (1, 33); (1, 31); (1, 25); (1, 21); (1, 19); (1, 13); (1, 9); (1, 3); 
93; (46, 1); (31, 0); (18, 3); (13, 2); (8, 5); (7, 2); (5, 8); (4, 17); (4, 1); (3, 6); (3, 0); (2, 19); (2, 11); (2, 7); (1, 46); (1, 40); (1, 34); (1, 32); (1, 26); (1, 22); (1, 20); (1, 14); (1, 10); (1, 4); 
94; (47, 0); (31, 1); (18, 4); (13, 3); (8, 6); (7, 3); (5, 9); (4, 18); (4, 2); (3, 7); (3, 1); (2, 20); (2, 12); (2, 8); (2, 0); (1, 41); (1, 35); (1, 33); (1, 27); (1, 23); (1, 21); (1, 15); (1, 11); (1, 5); 
95; (47, 1); (31, 2); (19, 0); (13, 4); (8, 7); (7, 4); (5, 10); (5, 0); (4, 3); (3, 8); (3, 2); (2, 21); (2, 13); (2, 9); (2, 1); (1, 42); (1, 36); (1, 34); (1, 28); (1, 24); (1, 22); (1, 16); (1, 12); (1, 6); 
96; (48, 0); (32, 0); (19, 1); (13, 5); (8, 8); (7, 5); (5, 11); (5, 1); (4, 4); (3, 9); (3, 3); (2, 22); (2, 14); (2, 10); (2, 2); (1, 43); (1, 37); (1, 35); (1, 29); (1, 25); (1, 23); (1, 17); (1, 13); (1, 7); 
97; (48, 1); (32, 1); (19, 2); (13, 6); (8, 9); (7, 6); (5, 12); (5, 2); (4, 5); (3, 10); (3, 4); (2, 23); (2, 15); (2, 11); (2, 3); (1, 44); (1, 38); (1, 36); (1, 30); (1, 26); (1, 24); (1, 18); (1, 14); (1, 8); (1, 0)
98; (49, 0); (32, 2); (19, 3); (14, 0); (8, 10); (7, 7); (5, 13); (5, 3); (4, 6); (3, 11); (3, 5); (2, 24); (2, 16); (2, 12); (2, 4); (1, 45); (1, 39); (1, 37); (1, 31); (1, 27); (1, 25); (1, 19); (1, 15); (1, 9); (1, 1)
99; (49, 1); (33, 0); (19, 4); (14, 1); (9, 0); (7, 8); (5, 14); (5, 4); (4, 7); (3, 12); (3, 6); (2, 25); (2, 17); (2, 13); (2, 5); (1, 46); (1, 40); (1, 38); (1, 32); (1, 28); (1, 26); (1, 20); (1, 16); (1, 10); (1, 2)
